DAY,Section,ROOM1,8 to 9,9 to 10,10 to 11,ROOM2,11 to 12,12 to 1,1 to 2,Section(DE),ROOM3,3 to 4,ROOM4,4 to 5,ROOM5,5 to 6
THU,IT-3,C-LH-405,X,DAA,CN,C-LH-304,SE,X,X,BD_CS-5,X,X,X,X,X,X
THU,IT-4,C-LH-406,X,SE,IOT,C-LH-303,CN,X,X,BD_CS-6,X,X,X,X,X,X
THU,IT-5,C-WL-301,DAA,DAA(L),DAA(L),C-LH-302,IOT,SE,X,BD_CS-7,X,X,X,X,X,X
THU,IT-6,C-LH-407,X,DAA,SE,C-LH-301,CN,X,X,BD_CS-8,X,X,X,X,X,X
THU,IT-7,C-WL-302,DAA,DAA(L),DAA(L),C-LH-208,IOT,SE,X,BD_CS-9,X,X,X,X,X,X
THU,CSCE-1,C-LH-408,X,SE,DBMS,C-LH-207,DAA,X,X,BD_CS-10,X,X,X,X,X,X
THU,CSCE-2,C-LH-409,X,DBMS,SE,C-LH-201,DAA,DAA(L),DAA(L),BD_CS-11,X,X,X,X,X,X
THU,CSCE-3,C-WL-401,DAA,DAA(L),DAA(L),C-LH-206,SE,X,X,BD_CS-12,X,X,X,X,X,X
THU,CSSE-1,C-LH-001,X,SE,AI,C-LH-205,CN,X,X,BD_CS-13,X,X,X,X,X,X
THU,CSSE-2,C-LH-002,X,AI,IOT,X,AP(L),AP(L),X,BD_CS-14,X,X,X,X,X,X
THU,CSSE-3,C-LH-003,SE,AI,IOT,C-LH-204,CN,X,X,BD_CS-15,X,X,X,X,X,X
THU,X,X,X,X,X,X,X,X,X,BD_CS-16,X,X,X,X,X,X
THU,X,X,X,X,X,X,X,X,X,BD_CS-17,X,X,X,X,X,X
THU,X,X,X,X,X,X,X,X,X,BD_CS-18,X,X,X,X,X,X
THU,X,X,X,X,X,X,X,X,X,DMDW_CS-1,X,X,X,X,X,X
THU,X,X,X,X,X,X,X,X,X,DMDW_CS-2,X,X,X,X,X,X
